risk_rank,case_id,prior_case_id,query_slice,question,expected_evidence,relevant_publication_ids,answer_grounding,review_flags,near_duplicate_of,question_verdict,revised_question,reviewed_by,notes
90,gq-111,SR031,concept,전투기 조종사 양성의 어려움은?,"장기간 훈련 필요, 민항 유출, 신체조건 제약, 높은 양성 비용",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
91,gq-113,SR033,concept,다자 안보협력의 한계와 가능성은?,"강대국 경쟁 구도로 한계, 비전통 안보 분야 협력 가능성",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
92,gq-114,SR034,concept,도시 지역 전투의 특수성은?,"민간인 피해 최소화, 복잡한 지형, 근접전, 정밀타격 필요",pub:kida:035182e3c76ed3b460b222be0dcc2673,0.38,low_grounding,,,,,매핑: 2024_유기현_2개의전쟁무엇을배울것인가
93,gq-115,SR035,concept,군사 분야 3D 프린팅의 활용 가능성은?,"예비부품 현장 생산, 경량 부품 제작, 신속 시제품 개발",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
94,gq-116,SR036,concept,북한의 비대칭 전력 위협 대응 방안은?,"특수전 대비, 미사일 방어, 사이버 방어, 정보 우위 확보",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
95,gq-117,SR037,concept,방산수출이 국가 경제에 미치는 영향은?,"고부가가치 수출, 일자리 창출, 기술파급 효과, 외교적 영향력 확대",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
96,gq-118,SR038,concept,전쟁사 연구가 현대 군사전략에 주는 시사점은?,"역사적 교훈 도출, 전략적 오류 회피, 미래 전쟁 양상 예측",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
97,gq-119,SR039,concept,장병 복지 향상의 전투력 기여는?,"사기 진작, 이탈 방지, 장기복무 유도, 전투 집중력 향상",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
98,gq-120,SR040,concept,군사훈련 VR/AR 적용의 효과는?,"실전 유사 체험, 안전한 반복훈련, 비용 절감, 다양한 시나리오 구현",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
99,gq-122,SR042,concept,군 지휘관 리더십 개발의 방향은?,"전문성, 윤리성, 소통능력, 위기관리 역량 균형 발전",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
100,gq-123,SR043,concept,대테러 작전의 핵심 성공요인은?,"정보 수집 능력, 신속 대응, 민간 협력, 사후 관리 체계",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
101,gq-124,SR044,concept,전략물자 비축의 중요성은?,"전시 공급망 단절 대비, 작전 지속성 보장, 동맹 의존도 감소",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
102,gq-125,SR045,concept,해상교통로(SLOC) 보호의 중요성은?,"수출입 물자 90% 해상 운송, 에너지 수입 의존, 경제안보 직결",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
103,gq-126,SR046,concept,군 인사제도 혁신의 방향은?,"능력 중심 진급, 전문성 인정, 민간 경력 활용, 유연한 보직 관리",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
104,gq-127,SR047,concept,방어 예산 효율화 방안은?,"중복 투자 제거, 민간 위탁 확대, 수명주기 비용 관리, 성과 평가",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
105,gq-128,SR048,concept,군사외교의 역할과 중요성은?,"안보협력 강화, 분쟁 예방, 상호이해 증진, 국익 수호",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
106,gq-129,SR049,concept,극초음속 무기의 위협과 대응은?,"위협: 조기탐지 어려움, 기존 방어 무력화. 대응: 센서망 강화, 우주기반 감시",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
107,gq-130,SR050,concept,전시 국민 보호를 위한 민방위 체계는?,"대피소 확보, 경보 체계, 화생방 대비, 비상물자 비축",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요
108,gq-133,MH018,multi_hop,사이버전 역량 강화와 인력 양성 정책의 연계 방안을 제시하시오.,"사이버 전문인력 특별 채용, 민간 우수인력 영입, 경력 인정 체계, 처우 개선, 교육 프로그램 고도화",pub:kida:cb834625898e6eafe83599beaaee859c,0.53,templated,,,,,매핑: 2024_김성태_국방사이버전문인력의전문성판단개선방안 | 다중 문서 근거 필요
109,gq-134,MH019,multi_hop,저출산 시대 병역제도 개편과 첨단 무인체계 도입을 연계한 국방력 유지 방안은?,"병력 집약→기술 집약 전환, 무인체계 확대, 전문 기술병 양성, 예비전력 활용 극대화",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요
110,gq-135,MH020,multi_hop,북한 핵위협 고도화에 따른 확장억제 강화와 자체 핵무장 논의의 관계를 분석하시오.,"확장억제 신뢰성 문제 → 자체 핵무장 논의 등장. 비용/외교적 결과, 한미동맹 영향, NPT 체제 고려 필요",pub:kida:ff51af852bf7909c8d5d5c99c6089b3f,0.88,templated,,,,,매핑: 2023_부형욱_북핵고도화대응전략구상한국형핵공유옵션과핵협상에의활용 | 다중 문서 근거 필요
111,gq-136,MH021,multi_hop,우크라이나 전쟁의 드론 활용 사례와 한국군 MUM-T 발전 방향의 연계점은?,"저비용 드론 대량 운용 교훈, 유무인 협동작전 필요성, AI 기반 자율화, 민간 기술 활용",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요
112,gq-138,MH023,multi_hop,한미 연합방위체제와 한반도 미사일 전략 발전의 상호작용을 분석하시오.,"한미 미사일지침 개정 → 사거리 제한 해제, 한국형 3축체계 고도화, 미사일 전력 다변화",pub:kida:d97f67aac09c745bce808e48ca694533,0.92,templated,,,,,매핑: 2023_김기원_신영역작전수행개념과연계한한반도미사일전략발전방향연구 | 다중 문서 근거 필요
113,gq-140,MH025,multi_hop,ROTC 지원율 하락 문제와 군 간부 획득 정책의 종합적 개선 방향은?,"ROTC 장학금 확대, 복무기간 유연화, 민간 경력 인정, 장교 처우 개선, 사회적 인식 제고",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요
114,gq-143,MH028,multi_hop,NATO 조달체계 분석과 한국 국방조달 혁신 방안을 비교 제시하시오.,"상호운용성 기준, 표준화 프로세스, 다국적 협력 모델 도입, 경쟁 입찰 확대",pub:kida:4af0cacdfad4e0d5f9b7a55ec854c803,0.55,templated,,,,,매핑: 2024_김지수_NATO조달체계란무엇이고어떻게접근할것인가 | 다중 문서 근거 필요
115,gq-146,MH031,multi_hop,핵보유국 핵정책 비교와 한국의 핵억제 전략 수립에 대한 함의를 종합하시오.,"미/러/중 핵전략 분석 → 한국형 핵공유 모델, 확장억제 강화, 독자 대응 옵션 검토",pub:kida:43cc77568f5dcc77ad2de626602c50f2,0.73,templated,,,,,매핑: 2023_박상현_핵보유국의핵정책비교연구 | 다중 문서 근거 필요
116,gq-147,MH032,multi_hop,러시아-우크라이나 전쟁 교훈과 한반도 전쟁억제 전략을 연계 분석하시오.,"강력한 재래식 억제력 필요, 서방 지원 확보 중요, 정보전 대비, 장기전 대비 체계",pub:kida:a5c30566817e1c06d73ca05520f8e69c,0.83,templated,,,,,매핑: 2023_노인규_러시아-우크라이나전쟁종전구상논의와전쟁의향방 | 다중 문서 근거 필요
117,gq-148,MH033,multi_hop,국방 R&D 투자 효율화와 민간 기술 이전 촉진 정책을 연계하여 제언하시오.,"개방형 R&D, 기술가치 평가 체계, 이전 절차 간소화, 인센티브 제공, 산학연 협력",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요
118,gq-149,MH034,multi_hop,정밀유도무기 발전 추세와 한국군 화력 체계 현대화 방향을 종합하시오.,"GPS/INS 유도 고정밀화, 장사정포 정밀화, 다층 타격 체계, 비용 효과성 고려",pub:kida:13355fff22fba242157600fc3c169540,0.83,templated,,,,,매핑: 2024_김종국_정밀유도포탄의세계적현황및적정소요량설정방향 | 다중 문서 근거 필요
119,gq-152,MH037,multi_hop,군 스트레스 관리와 전투준비태세의 관계를 분석하고 정책 방안을 제시하시오.,"스트레스 → 전투력 저하, 사고 위험 증가. 조기 상담, 회복탄력성 교육, 지휘관 인식 제고",pub:kida:d70a63c982c5d278d3e8700d5f977fca,0.54,templated,,,,,매핑: 2024_박지연_군의스트레스관리방안에대한제언-스트레스마인드셋을중심으로 | 다중 문서 근거 필요
120,gq-153,MH038,multi_hop,트럼프 재집권 시 한미 안보협력의 변화 전망과 한국의 대응 방안은?,"방위비 분담 증액 압박, 주한미군 위상 변화 가능성, 자주국방 역량 강화, 외교적 대응",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요
121,gq-154,MH039,multi_hop,AI 전쟁 패러다임 변화와 한국군 교리 혁신 방향을 종합 분석하시오.,"의사결정 속도 가속화, 무인/유인 협력 교리, 데이터 중심 작전, 사이버/전자전 통합",pub:kida:d7a2af473c4d3d519c12d7be47cec10b,0.54,templated,,,,,매핑: 2023_유기현_인공지능(AI)과전쟁패러다임변화연구 | 다중 문서 근거 필요
122,gq-159,MH044,multi_hop,세계 분쟁 양상 변화와 한국군 해외파병 정책의 발전 방향을 연계하시오.,"복합 분쟁 증가, PKO 역할 변화, 특수전/사이버 역량 필요, 인도적 지원 확대",,,unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요
123,gq-161,MH046,multi_hop,초급간부 선발에서 AI 면접 도입의 기대효과와 한계를 종합 분석하시오.,"객관성 향상, 대량 평가 가능 vs 맥락 이해 한계, 데이터 편향, 인간 검토 병행 필요",pub:kida:141e602a103e76d68efee4780087cc13,0.60,templated,,,,,매핑: 2024_곽지희_초급간부선발시AI면접의발전방향 | 다중 문서 근거 필요
124,gq-162,MH047,multi_hop,사회문화적 변화에 따른 군 리더십 패러다임 전환 방향을 제시하시오.,"권위주의→소통형 리더십, 개인 존중, 동기부여, 코칭 역량, 디지털 리터러시",pub:kida:04c54f24414c6959db7cf2cb298b5849,0.70,templated,,,,,매핑: 2023_독고순_한국의사회문화적이슈가군에미친영향 | 다중 문서 근거 필요
125,gq-167,TR017,abstention,2030년까지 북한이 포기할 핵무기의 수는?,해당 정보가 제공된 문서에 없습니다. 핵 포기 계획은 불확실합니다.,,,trap_topic_present,,,,,허구적 미래 시나리오 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
126,gq-169,TR019,abstention,MUM-T 체계가 실전 배치된 한국군 부대는?,"문서에서는 MUM-T 발전 방향을 논의하고 있으며, 실전 배치 부대 정보는 없습니다.",pub:kida:780ab1feb626e0554a8e217b5547378f,,trap_topic_present,,,,,미배치 체계의 부대 정보 | 매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고
127,gq-170,TR020,abstention,AI 면접으로 탈락한 장교 후보생의 수는?,구체적인 탈락자 통계는 문서에 없습니다. 문서에서는 AI 면접의 발전 방향을 다루고 있습니다.,pub:kida:141e602a103e76d68efee4780087cc13,,trap_topic_present,,,,,구체적 통계 요구 | 매핑: 2024_곽지희_초급간부선발시AI면접의발전방향
128,gq-171,TR021,abstention,사이버사령부의 해킹 성공 사례는?,군사작전 관련 보안 정보는 문서에 포함되지 않습니다.,,,trap_topic_present,,,,,보안 민감 정보 요구 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
129,gq-172,TR022,abstention,한국의 핵잠수함 건조 일정은?,한국의 핵잠수함 건조 계획에 대한 공식 정보는 문서에 없습니다.,,,trap_topic_present,,,,,미확정 계획 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
130,gq-173,TR023,abstention,전작권 전환이 완료된 후 미군 철수 계획은?,"전작권 전환 후 미군 철수 계획은 문서에 없으며, 그러한 계획은 공식 발표되지 않았습니다.",,,trap_topic_present,,,,,잘못된 전제 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
131,gq-174,TR024,abstention,한국군 사이버전사의 급여 체계는?,구체적인 급여 정보는 문서에 없습니다.,,,trap_topic_present,,,,,민감 인사 정보 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
132,gq-175,TR025,abstention,글로벌 사우스에서 한국이 2024년에 수주한 방산 계약 총액은?,구체적인 계약 금액 정보는 문서에 없습니다. 문서에서는 글로벌 사우스 협력 방향을 다루고 있습니다.,pub:kida:46286be240f4e70646737f212f0a2fa1,,trap_topic_present,,,,,구체적 금액 정보 | 매핑: 2024_노인규_글로벌사우스의부상과한국의대외정책적과제
133,gq-176,TR026,abstention,3축 체계의 작전 계획 세부 내용은?,작전 계획 세부 내용은 군사 기밀로 문서에 포함되지 않습니다.,,,trap_topic_present,,,,,보안 민감 정보 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
134,gq-177,TR027,abstention,한국 방산업체가 수출한 무기로 사망한 민간인 수는?,"해당 정보는 문서에 없으며, 이러한 통계는 공개되지 않습니다.",,,trap_topic_present,,,,,민감하고 확인 불가한 정보 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
135,gq-178,TR028,abstention,ROTC 출신 장군의 비율은?,ROTC 출신 장군 비율에 대한 구체적 통계는 문서에 없습니다.,pub:kida:3dda090e139e908b38cff02744e21253,,trap_topic_present,,,,,구체적 통계 | 매핑: 2024_김영곤_학군장교(ROTC)지원율하락요인과개선방안
136,gq-180,TR030,abstention,중대재해처벌법 적용 후 감소된 군 사고 건수는?,중대재해처벌법 적용 효과에 대한 구체적 통계는 문서에 없습니다.,pub:kida:10152162705b8b446f4c6f7d6a7b8360,,trap_topic_present,,,,,구체적 효과 통계 | 매핑: 2024_김미희_중대재해처벌법과군특수성
137,gq-181,TR031,abstention,북한 지도부 제거 작전의 구체적 방법은?,작전 세부 내용은 군사 기밀로 문서에 포함되지 않습니다.,,,trap_topic_present,,,,,군사 기밀 정보 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
138,gq-182,TR032,abstention,한국군이 보유한 전술핵무기의 종류는?,한국은 핵무기를 보유하고 있지 않습니다.,,,trap_topic_present,,,,,잘못된 전제 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
139,gq-183,TR033,abstention,AI 무기체계가 민간인을 오인 공격한 사례는?,"문서에서 다루는 AI 무기체계는 개념 수준이며, 오인 공격 사례는 포함되지 않습니다.",,,trap_topic_present,,,,,가상의 사고 사례 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
140,gq-185,TR035,abstention,방산수출로 인한 환경오염 피해 보상 금액은?,해당 정보는 문서에 없습니다.,,,trap_topic_present,,,,,관련 없는 정보 요구 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
141,gq-186,TR036,abstention,국방부가 승인한 자율살상무기 목록은?,"자율살상무기 승인 목록은 문서에 없으며, 한국은 LAWS 규제 논의에 참여 중입니다.",,,trap_topic_present,,,,,잘못된 전제 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
142,gq-187,TR037,abstention,한일 군사동맹 조약의 내용은?,한일 군사동맹 조약은 존재하지 않습니다. GSOMIA는 정보보호협정입니다.,,,trap_topic_present,,,,,존재하지 않는 조약 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
143,gq-188,TR038,abstention,중국과의 비밀 군사 협정 내용은?,"한중 간 비밀 군사 협정에 대한 정보는 문서에 없으며, 그러한 협정은 공개되지 않았습니다.",,,trap_topic_present,,,,,가상의 협정 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
144,gq-189,TR039,abstention,스트레스로 인한 군내 자살 상세 통계는?,민감한 개인정보 관련 상세 통계는 문서에 포함되지 않습니다.,pub:kida:d70a63c982c5d278d3e8700d5f977fca,,trap_topic_present,,,,,민감 개인정보 | 매핑: 2024_박지연_군의스트레스관리방안에대한제언-스트레스마인드셋을중심으로
145,gq-194,TR044,abstention,군무원의 파업 사례와 요구사항은?,군무원 파업 사례에 대한 정보는 문서에 없습니다. 군무원은 노동조합 활동이 제한됩니다.,,,trap_topic_present,,,,,잘못된 전제 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
146,gq-195,TR045,abstention,한국군이 참전한 베트남 전쟁의 민간인 피해 보상 내역은?,베트남전 민간인 피해 보상에 대한 상세 내역은 문서에 없습니다.,,,trap_topic_present,,,,,역사적 민감 정보 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
147,gq-197,TR047,abstention,국방부 장관이 개인적으로 추천한 무기체계는?,개인적 추천에 대한 정보는 문서에 없습니다.,,,trap_topic_present,,,,,부적절한 질문 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
148,gq-199,TR049,abstention,인민해방군 장성과 한국군 장성의 비공식 회담 내용은?,비공식 회담 내용에 대한 정보는 문서에 없습니다.,,,trap_topic_present,,,,,비공개 외교 정보 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
149,gq-200,TR050,abstention,국방 AI 시스템이 잘못된 결정을 내린 사례와 책임자는?,국방 AI 오류 사례에 대한 정보는 문서에 없습니다. 문서에서는 AI 개념 설계를 다루고 있습니다.,pub:kida:65126140b8accf27c4602672371a65e3,,trap_topic_present,,,,,가상의 사고 사례 | 매핑: 2023_심승배_국방정책AI개념설계연구
150,gq-003,KW003,exact_term,MUM-T(유무인복합체계)란 무엇인가?,MUM-T는 유인-무인 시스템이 협력하여 작전을 수행하는 미래 전투체계,pub:kida:780ab1feb626e0554a8e217b5547378f,1.00,,,(decided),,,매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고
151,gq-006,KW006,exact_term,RSF(Readiness Support Framework) 전략이란?,RSF는 미군의 군수지원 준비태세 프레임워크로 MRO 효율화 전략,pub:kida:a0c8315faf322595981c996721376447,0.75,,,(decided),,,매핑: 2024_김진호_미군의RSF전략에대응하는국방MRO발전방향
152,gq-007,KW007,exact_term,DIU(국방혁신단)의 역할은?,DIU는 미국 국방부 산하 기관으로 스타트업 기술을 군에 빠르게 도입하는 혁신 조직,pub:kida:780ab1feb626e0554a8e217b5547378f,0.83,,,(decided),,,매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고
153,gq-008,KW008,exact_term,ROTC 지원율 하락의 주요 요인은?,"ROTC 지원율 하락 요인으로는 군 복무 기피 현상, 취업시장 변화, 처우 문제 등",pub:kida:3dda090e139e908b38cff02744e21253,0.73,,,(decided),,,매핑: 2024_김영곤_학군장교(ROTC)지원율하락요인과개선방안
154,gq-010,KW010,exact_term,정밀유도포탄(PGM)의 세계적 현황은?,"정밀유도포탄은 GPS/INS 유도 방식이 주류이며, 미국 엑스칼리버 등이 대표적",pub:kida:13355fff22fba242157600fc3c169540,0.80,,,(decided),,,매핑: 2024_김종국_정밀유도포탄의세계적현황및적정소요량설정방향
155,gq-011,KW011,exact_term,북한 핵고도화 대응을 위한 한국형 핵공유 옵션이란?,"한국형 핵공유는 한미 간 핵전력 운용 협력 강화, NATO 핵공유 모델 참고",pub:kida:ff51af852bf7909c8d5d5c99c6089b3f,1.00,,,(decided),,,매핑: 2023_부형욱_북핵고도화대응전략구상한국형핵공유옵션과핵협상에의활용
156,gq-012,KW012,exact_term,국방 정책 AI 개념설계 연구의 핵심 내용은?,"국방 정책 AI는 의사결정 지원, 데이터 분석, 정책 시뮬레이션 등에 AI 활용",pub:kida:65126140b8accf27c4602672371a65e3,0.90,,,(decided),,,매핑: 2023_심승배_국방정책AI개념설계연구
157,gq-014,KW014,exact_term,인태지역 주요국 군사력과 전략동향은?,"인태지역에서 미중 경쟁 심화, 역내 국가들의 군비 증강 추세",pub:kida:d5ea895302069f644442cc44c0dd9eb5,0.56,,,(decided),,,매핑: 2023_이상국_인태지역주요군사력과전략동향
158,gq-016,SR001,concept,인공지능이 군 인사 선발에 어떻게 활용될 수 있는가?,"AI 면접 시스템을 통한 초급간부 선발, 객관적 평가 지원 등",pub:kida:141e602a103e76d68efee4780087cc13,0.78,,,(decided),,,매핑: 2024_곽지희_초급간부선발시AI면접의발전방향
159,gq-017,SR002,concept,드론과 로봇이 미래 전장에서 어떤 역할을 할 것인가?,"무인체계는 정찰, 공격, 물자수송 등 다양한 임무 수행, 유인체계와 협력",pub:kida:780ab1feb626e0554a8e217b5547378f,0.75,,,(decided),,,매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고
160,gq-018,SR003,concept,현대전에서 민간 기술의 군사적 활용 사례는?,"상용 드론의 정찰/공격 활용, AI/ML 기술의 표적 식별 적용 등 우크라이나 전쟁 사례",pub:kida:035182e3c76ed3b460b222be0dcc2673,0.79,,,(decided),,,매핑: 2024_유기현_2개의전쟁무엇을배울것인가
161,gq-019,SR004,concept,군 조직에서 스트레스 관리가 중요한 이유는?,"스트레스 마인드셋이 조직 성과와 전투준비태세에 영향, 예방적 관리 필요",pub:kida:d70a63c982c5d278d3e8700d5f977fca,0.78,,,(decided),,,매핑: 2024_박지연_군의스트레스관리방안에대한제언-스트레스마인드셋을중심으로
162,gq-020,SR005,concept,기후변화가 군사 작전에 미치는 영향은?,"극한 기후로 인한 장비 운용 제한, 재해 대응 임무 증가, 에너지 효율성 요구",pub:kida:56645b2a20d711920e05b65748039d97,0.85,,,(decided),,,매핑: 2024_이남석_기후변화와전투준비태세-선진국의대응과시사점
163,gq-021,SR006,concept,국방 분야에서 지속가능성이 왜 중요한가?,"에너지 효율성 향상, 친환경 무기체계 개발, 장기적 군사력 유지를 위해 필수",pub:kida:4d90e7b6566afd03b37ee24bb662cf25,0.50,,,(decided),,,매핑: 2024_나상욱_국방부문의지속가능성(Sustainability)및에너지효율성향상정책검토
164,gq-022,SR007,concept,전시에 군수물자를 안정적으로 공급하는 방법은?,"성과기반 군수지원, 예측적 정비, 민간 물류 협력 등을 통한 지속지원성 확보",pub:kida:60b7c6f64ff31abb2907a468d3e4da00,0.70,,,(decided),,,매핑: 2024_권남연_전시우리군성과기반군수지원의지속지원성향상을위한발전
165,gq-023,SR008,concept,사이버 보안 인력 양성의 어려움은?,"전문성 평가 기준 부재, 민간 대비 처우 열악, 빠른 기술 변화 대응 곤란",pub:kida:cb834625898e6eafe83599beaaee859c,0.69,,,(decided),,,매핑: 2024_김성태_국방사이버전문인력의전문성판단개선방안
166,gq-025,SR010,concept,젊은 세대의 군 기피 현상 해결 방안은?,"처우 개선, 복무 환경 현대화, 경력 연계 강화, 사회적 인식 개선 등",pub:kida:e76f9384a52ef3808c8bd69909e01a52,0.90,,,(decided),,,매핑: 2024_권현진_군간부획득영향요인과정책효과에대한인식
167,gq-027,SR012,concept,국방 소프트웨어 획득 제도의 문제점과 개선 방향은?,"소프트웨어 특성 미반영, 획득 절차 경직성 문제. 애자일 개발, 민간 협력 강화 필요",pub:kida:bc3a9c9a14c66016c41eb20e670ccd8a,0.62,,,(decided),,,매핑: 2023_남기헌_국방소프트웨어획득제도정비방안
168,gq-028,SR013,concept,한국 사회문화적 변화가 군에 미치는 영향은?,"개인주의 확산, MZ세대 특성, 가치관 변화로 인한 복무 문화 및 리더십 변화 요구",pub:kida:04c54f24414c6959db7cf2cb298b5849,1.00,,,(decided),,,매핑: 2023_독고순_한국의사회문화적이슈가군에미친영향
169,gq-030,SR015,concept,국방 과학기술의 민간 이전은 어떻게 이루어지는가?,"기술 소유권 정립, 민간 이전 절차 간소화, 기술 사업화 지원 체계 구축",pub:kida:c3041ffbe334de2bf5d03a6db540e820,1.00,,,(decided),,,매핑: 2023_양영철_국방과학기술소유권의민간이전방안검토
170,gq-031,MH001,multi_hop,"우크라이나 전쟁과 이스라엘-하마스 전쟁의 공통된 교훈은 무엇이며, 이를 한국군에 어떻게 적용해야 하는가?","하이브리드전 일반화, 무인체계 활용 확대, 방어의 한계와 공격의 중요성 인식. 한국군은 대도시전투 준비, 무인체계 개념 정립, 선제적 공격작전 강화 필요",pub:kida:035182e3c76ed3b460b222be0dcc2673,0.95,,,(decided),,,매핑: 2024_유기현_2개의전쟁무엇을배울것인가 | 다중 문서 근거 필요
171,gq-038,MH008,multi_hop,글로벌 사우스의 부상이 한국 국방정책에 미치는 영향과 대응 방안은?,"방산수출 시장 확대 기회, 다자 안보협력 필요성 증대. 대응: 전략적 파트너십 구축, 기술 협력, 국방외교 강화",pub:kida:46286be240f4e70646737f212f0a2fa1,0.62,,,(decided),,,매핑: 2024_노인규_글로벌사우스의부상과한국의대외정책적과제 | 다중 문서 근거 필요
172,gq-039,MH009,multi_hop,중대재해처벌법이 군에 미치는 영향과 군의 특수성을 고려한 적용 방안은?,"군 작전/훈련 중 사고에 대한 법적 책임 문제. 군 특수성 반영한 예외 조항, 안전관리체계 강화, 지휘관 면책 범위 명확화 필요",pub:kida:10152162705b8b446f4c6f7d6a7b8360,0.76,,,(decided),,,매핑: 2024_김미희_중대재해처벌법과군특수성
173,gq-047,TR002,abstention,한국군의 F-35 스텔스 전투기 총 보유 대수는?,해당 정보가 제공된 문서에 없습니다,,,,,(decided),,,구체적 수치를 묻지만 문서에 없음 | 문서 라벨을 특정할 수 없음. 검토자가 확인 필요
174,gq-056,TR011,abstention,2027년까지 북한의 핵무기 보유량 예측치는?,해당 정보가 제공된 문서에 없습니다. 문서에서는 북한 전략동향 및 위협 평가를 다루고 있습니다.,pub:kida:9b7174c6b46b22d0f39893e6616742fd,,,,(decided),,,구체적 수치 예측을 요구하는 함정 | 매핑: 2023_손효종_2023~2027북한전략동향및위협 평가(I)
175,gq-060,TR015,abstention,중국 인민해방군 군사개혁에서 해임된 장성의 명단은?,구체적인 해임 장성 명단은 문서에 없습니다. 문서에서는 군사개혁 후 중국 인민해방군의 조직 변화를 다루고 있습니다.,pub:kida:3545eae573db173bfe188b69d8365208,,,,(decided),,,구체적 인물 정보를 요구하는 함정 | 매핑: 2019_이창형_군사개혁후의중국인민해방군연구
176,gq-063,KW018,exact_term,PBL(성과기반군수지원)의 핵심 개념은?,PBL은 결과물 기반 계약으로 가용도/신뢰도 목표 달성 시 대가 지불하는 군수지원 방식,pub:kida:60b7c6f64ff31abb2907a468d3e4da00,0.58,,,(decided),,,매핑: 2024_권남연_전시우리군성과기반군수지원의지속지원성향상을위한발전
177,gq-087,KW042,exact_term,국군사이버사령부의 임무는?,"사이버사령부는 사이버 공격 대응, 방어체계 운용, 사이버전 수행 담당",pub:kida:cb834625898e6eafe83599beaaee859c,0.75,,,(decided),,,매핑: 2024_김성태_국방사이버전문인력의전문성판단개선방안
178,gq-091,KW046,exact_term,ATACMS(육군전술미사일)의 사거리와 용도는?,ATACMS는 사거리 300km 지대지 미사일로 종심 타격 임무 수행,pub:kida:d97f67aac09c745bce808e48ca694533,1.00,,,(decided),,,매핑: 2023_김기원_신영역작전수행개념과연계한한반도미사일전략발전방향연구
179,gq-097,SR017,concept,디지털 네이티브 세대의 군 적응을 위한 방안은?,"디지털 소통 환경 조성, 개인 맞춤형 교육, 병영 ICT 인프라 개선, 합리적 규율",pub:kida:04c54f24414c6959db7cf2cb298b5849,0.92,,,(decided),,,매핑: 2023_독고순_한국의사회문화적이슈가군에미친영향
180,gq-098,SR018,concept,국방 분야 스타트업 육성의 필요성은?,"민간 혁신기술 빠른 도입, 방산 생태계 다양화, 글로벌 경쟁력 확보",pub:kida:780ab1feb626e0554a8e217b5547378f,0.80,,,(decided),,,매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고
