case_id,question,topic,difficulty,query_slice,relevant_publication_ids,relevant_pages,relevance_grade,expected_evidence,acceptable_abstention,created_by,reviewed_by,adjudication_status,notes,prior_case_id,prior_source_document,mapping_confidence,prior_keywords
gq-063,PBL(성과기반군수지원)의 핵심 개념은?,POLICY,medium,exact_term,pub:kida:60b7c6f64ff31abb2907a468d3e4da00,,3,PBL은 결과물 기반 계약으로 가용도/신뢰도 목표 달성 시 대가 지불하는 군수지원 방식,no,,,draft,매핑: 2024_권남연_전시우리군성과기반군수지원의지속지원성향상을위한발전,KW018,2024_권남연_전시우리군성과기반군수지원의지속지원성향상을위한발전,exact,PBL;성과기반;군수지원;계약
gq-064,THAAD 배치 논란의 핵심 쟁점은?,SECURITY,hard,exact_term,,,,"THAAD는 레이더 탐지 범위, 중국 견제 논란, 3불 정책 등이 쟁점",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW019,국방정책연구_미사일방어 문서,none,THAAD;사드;미사일방어;3불
gq-065,OPCON(전시작전통제권) 전환의 조건은?,SECURITY,hard,exact_term,,,,"OPCON 전환은 한국군 핵심 능력 확보, 북핵 대응 능력, 한반도 안보환경 등 3대 조건 충족 필요",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW020,국방정책연구_전작권 문서,none,OPCON;전작권;전환;조건
gq-066,FCG(미래연합군사령부)의 역할은?,SECURITY,hard,exact_term,,,,FCG는 전작권 전환 후 한미연합사를 대체할 연합군 지휘구조,no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW021,국방정책연구_전작권 문서,none,FCG;미래연합군사령부;전작권;연합사
gq-067,EMP(전자기펄스) 무기의 위협은?,WEAPON_SYSTEM,medium,exact_term,,,,"EMP는 강력한 전자기파로 전자장비 무력화, 사회 인프라 마비 가능한 비물리적 공격 수단",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW022,국방정책연구_비대칭위협 문서,none,EMP;전자기펄스;전자전;비대칭
gq-068,ADD(국방과학연구소)의 주요 연구 분야는?,POLICY,easy,exact_term,pub:kida:3025dddc8f7fedde49e600d07034cce9,,3,"ADD는 미사일, 레이더, 함정, 항공 등 핵심 무기체계 연구개발 수행",no,,,draft,매핑: 2019_이상경_한국의국방연구개발역량강화방안정책·제도인력조직예산부문ᄌ,KW023,2019_이상경_한국의국방연구개발역량강화방안,prefix,ADD;국방과학연구소;연구개발;무기체계
gq-069,DAPA(방위사업청)의 조달 절차는?,POLICY,medium,exact_term,pub:kida:bc3a9c9a14c66016c41eb20e670ccd8a,,3,"DAPA는 소요결정, 예산편성, 계약, 시험평가, 전력화의 무기체계 획득 절차 수행",no,,,draft,매핑: 2023_남기헌_국방소프트웨어획득제도정비방안,KW024,2023_남기헌_국방소프트웨어획득제도정비방안,exact,DAPA;방위사업청;조달;획득
gq-070,K2 전차의 주요 성능은?,WEAPON_SYSTEM,easy,exact_term,,,,"K2 흑표는 120mm 활강포, 복합장갑, 능동방어체계 등을 갖춘 3.5세대 주력전차",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW025,국방정책연구_지상무기체계 문서,none,K2;흑표;전차;활강포
gq-071,KF-21 보라매의 개발 현황은?,WEAPON_SYSTEM,medium,exact_term,,,,"KF-21은 한국형 4.5세대 전투기로 AESA 레이더, 스텔스 설계 적용",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW026,국방정책연구_항공전력 문서,none,KF-21;보라매;전투기;AESA
gq-072,정훈(정훈무관)의 역할 변화는?,PERSONNEL,medium,exact_term,,,,"정훈은 심리전에서 정보작전, 여론전, 사이버심리전으로 역할 확대",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW027,국방정책연구_정훈 관련 문서,none,정훈;심리전;정보작전;여론
gq-073,GOP(일반전초) 근무의 특수성은?,PERSONNEL,easy,exact_term,,,,"GOP는 최전방 경계 근무로 북한 직접 대치, 높은 긴장도, 특수 수당 지급",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW028,국방정책연구_병영문화 문서,none,GOP;일반전초;경계;최전방
gq-074,UDT/SEAL의 임무는?,WEAPON_SYSTEM,easy,exact_term,,,,"UDT/SEAL은 특수전 부대로 해상침투, 수중폭파, 대테러작전 수행",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW029,국방정책연구_특수전 문서,none,UDT;SEAL;특수전;해군
gq-075,NCW(네트워크중심전)의 개념은?,AI_TECH,medium,exact_term,,,,NCW는 센서-결심자-타격체계를 네트워크로 연결하여 전투력 시너지 창출,no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW030,국방정책연구_NCW 문서,none,NCW;네트워크중심전;센서;타격
gq-076,JDAM(합동직격탄)의 특성은?,WEAPON_SYSTEM,medium,exact_term,pub:kida:13355fff22fba242157600fc3c169540,,3,JDAM은 GPS 유도 키트를 장착한 정밀유도폭탄으로 전천후 정밀타격 가능,no,,,draft,매핑: 2024_김종국_정밀유도포탄의세계적현황및적정소요량설정방향,KW031,2024_김종국_정밀유도포탄의세계적현황,prefix,JDAM;정밀유도;GPS;폭탄
gq-077,TOD(열상관측장비)의 활용은?,WEAPON_SYSTEM,easy,exact_term,,,,TOD는 적외선 열영상으로 야간/악천후 시 표적 탐지 및 감시,no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW032,국방정책연구_감시정찰 문서,none,TOD;열상;적외선;관측
gq-078,MLRS(다연장로켓)의 화력 지원 능력은?,WEAPON_SYSTEM,easy,exact_term,,,,MLRS는 동시 다수 로켓 발사로 광범위 지역 제압 가능한 화력 체계,no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW033,국방정책연구_포병화력 문서,none,MLRS;다연장;로켓;화력
gq-079,KCTC(육군과학화전투훈련단)의 역할은?,POLICY,medium,exact_term,,,,"KCTC는 MILES 장비 활용 실전적 전투훈련 제공, 전투력 검증",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW034,국방정책연구_훈련체계 문서,none,KCTC;과학화;전투훈련;MILES
gq-080,전술데이터링크(TADIL)의 기능은?,AI_TECH,medium,exact_term,,,,TADIL은 실시간 전술정보 교환으로 공동작전 효율성 향상,no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW035,국방정책연구_정보통신 문서,none,TADIL;데이터링크;전술정보;통신
gq-081,국방개혁 2.0의 주요 내용은?,POLICY,medium,exact_term,,,,"국방개혁 2.0은 군 상부지휘구조 개편, 병력 감축, 첨단전력 확충 포함",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW036,국방정책연구_국방개혁 문서,none,국방개혁;2.0;지휘구조;병력
gq-082,SOFA(주한미군지위협정)의 핵심 조항은?,INTERNATIONAL,hard,exact_term,,,,"SOFA는 미군 법적 지위, 재판권, 시설 사용, 비용 분담 등 규정",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW037,국방정책연구_한미동맹 문서,none,SOFA;주한미군;지위협정;재판권
gq-083,SMA(방위비분담협정)의 협상 쟁점은?,INTERNATIONAL,hard,exact_term,,,,"SMA는 주한미군 주둔 비용 한국 분담 비율, 산정 방식, 협정 기간 등이 쟁점",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW038,국방정책연구_방위비분담 문서,none,SMA;방위비분담;주한미군;비용
gq-084,KFOR(코소보평화유지군) 파병 경험은?,INTERNATIONAL,medium,exact_term,,,,"KFOR 파병으로 한국군 PKO 경험 축적, 국제사회 기여도 제고",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW039,국방정책연구_해외파병 문서,none,KFOR;코소보;PKO;파병
gq-085,합참의장의 권한과 역할은?,POLICY,medium,exact_term,,,,"합참의장은 군령권 행사, 작전 지휘, 합동참모 통할, 대통령 군사자문",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW040,국방정책연구_지휘구조 문서,none,합참의장;군령권;지휘;합동참모
gq-086,워게임(전쟁시뮬레이션)의 활용 분야는?,AI_TECH,easy,exact_term,,,,"워게임은 작전계획 검증, 전술 개발, 교육훈련, 무기체계 평가에 활용",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW041,국방정책연구_시뮬레이션 문서,none,워게임;시뮬레이션;작전;검증
gq-087,국군사이버사령부의 임무는?,AI_TECH,easy,exact_term,pub:kida:cb834625898e6eafe83599beaaee859c,,3,"사이버사령부는 사이버 공격 대응, 방어체계 운용, 사이버전 수행 담당",no,,,draft,매핑: 2024_김성태_국방사이버전문인력의전문성판단개선방안,KW042,2024_김성태_국방사이버전문인력의전문성판단개선방안,exact,사이버사령부;사이버전;방어;공격
gq-088,한미연합훈련(UFG/ULCHI)의 목적은?,SECURITY,medium,exact_term,,,,"한미연합훈련은 연합 방위태세 점검, 위기관리 능력 향상, 전시작전 숙달",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW043,국방정책연구_한미연합 문서,none,UFG;을지;연합훈련;방위태세
gq-089,MCRC(항공통제단)의 기능은?,WEAPON_SYSTEM,medium,exact_term,,,,"MCRC는 방공작전 통제, 항공기 관제, 조기경보 임무 수행",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW044,국방정책연구_방공 문서,none,MCRC;방공;통제;조기경보
gq-090,GSOMIA(군사정보보호협정)의 의의는?,INTERNATIONAL,hard,exact_term,,,,GSOMIA는 한일 간 군사비밀정보 직접 교류 가능케 한 양자협정,no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW045,국방정책연구_한일관계 문서,none,GSOMIA;군사정보;한일;협정
gq-091,ATACMS(육군전술미사일)의 사거리와 용도는?,WEAPON_SYSTEM,medium,exact_term,pub:kida:d97f67aac09c745bce808e48ca694533,,3,ATACMS는 사거리 300km 지대지 미사일로 종심 타격 임무 수행,no,,,draft,매핑: 2023_김기원_신영역작전수행개념과연계한한반도미사일전략발전방향연구,KW046,2023_김기원_신영역작전수행개념과연계한한반도미사일전략발전방향연구,exact,ATACMS;전술미사일;사거리;종심
gq-092,천무 다연장로켓의 성능은?,WEAPON_SYSTEM,medium,exact_term,,,,"천무는 사거리 80-290km로 MLRS 대체, 정밀유도탄 운용 가능",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW047,국방정책연구_포병화력 문서,none,천무;다연장로켓;정밀유도;MLRS
gq-093,장보고-III 잠수함의 특징은?,WEAPON_SYSTEM,medium,exact_term,,,,"장보고-III는 3,000톤급 디젤-리튬 추진, SLBM 탑재 가능한 대형 잠수함",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW048,국방정책연구_해군전력 문서,none,장보고;잠수함;SLBM;디젤
gq-094,OODA 루프(순환)의 개념은?,AI_TECH,medium,exact_term,,,,OODA는 관찰(Observe)-판단(Orient)-결심(Decide)-행동(Act)의 의사결정 주기,no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW049,국방정책연구_의사결정 문서,none,OODA;순환;관찰;결심
gq-095,예비전력 동원 체계의 구조는?,PERSONNEL,easy,exact_term,,,,"예비전력은 동원예비군, 향토예비군으로 구분, 전시 동원령에 따라 소집",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW050,국방정책연구_예비전력 문서,none,예비군;동원;향토;소집
gq-096,전장에서 자율무기체계 도입의 윤리적 쟁점은?,AI_TECH,hard,concept,pub:kida:780ab1feb626e0554a8e217b5547378f,,3,"살상 결정의 인간 통제, 책임 소재, 국제인도법 준수, 무차별 공격 우려 등",no,,,draft,매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고,SR016,2024_나상욱_유무인복합체계_MUM-T_발전방향에대한소고,exact,자율무기;윤리;인간통제;LAWS
gq-097,디지털 네이티브 세대의 군 적응을 위한 방안은?,PERSONNEL,medium,concept,pub:kida:04c54f24414c6959db7cf2cb298b5849,,3,"디지털 소통 환경 조성, 개인 맞춤형 교육, 병영 ICT 인프라 개선, 합리적 규율",no,,,draft,매핑: 2023_독고순_한국의사회문화적이슈가군에미친영향,SR017,2023_독고순_한국의사회문화적이슈가군에미친영향,exact,디지털;MZ세대;병영;적응
gq-098,국방 분야 스타트업 육성의 필요성은?,POLICY,medium,concept,pub:kida:780ab1feb626e0554a8e217b5547378f,,3,"민간 혁신기술 빠른 도입, 방산 생태계 다양화, 글로벌 경쟁력 확보",no,,,draft,매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고,SR018,2024_나상욱_유무인복합체계_MUM-T_발전방향에대한소고,exact,스타트업;민군협력;혁신;방산
gq-099,여군 비율 확대의 기대 효과와 과제는?,PERSONNEL,medium,concept,,,,"인력난 해소, 다양성 강화 기대. 육아지원, 시설 개선, 승진 형평성 과제",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR019,국방정책연구_여군정책 문서,none,여군;비율;다양성;육아
gq-100,저출산이 국방력에 미치는 장기 영향은?,PERSONNEL,medium,concept,,,,"병역자원 감소로 병력 충원 어려움, 첨단화/무인화 가속, 모병제 전환 논의",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR020,국방정책연구_병역제도 문서,none,저출산;병력;모병제;무인화
gq-101,군사 분야에서 양자컴퓨팅의 잠재적 활용은?,AI_TECH,hard,concept,,,,"암호 해독/보안 강화, 최적화 문제 해결, 시뮬레이션 정밀도 향상",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR021,국방정책연구_신기술 문서,none,양자;컴퓨팅;암호;시뮬레이션
gq-102,미래 전장에서 우주 영역의 중요성은?,SECURITY,medium,concept,,,,"위성 통신/정찰 의존 증대, 우주자산 보호, 위성공격 대응 필수",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR022,2024_양지원_우주공간에서의무력충돌과한국우주력운영에대한제언,none,우주;위성;우주전;통신
gq-103,사이버 공격에 대한 국제법적 대응의 한계는?,AI_TECH,hard,concept,pub:kida:cb834625898e6eafe83599beaaee859c,,3,"공격 귀속의 어려움, 비례성 원칙 적용 모호, 국가 간 합의 부재",no,,,draft,매핑: 2024_김성태_국방사이버전문인력의전문성판단개선방안,SR023,2024_김성태_국방사이버전문인력의전문성판단개선방안,exact,사이버;국제법;귀속;비례성
gq-104,방위산업 기술 보호의 중요성은?,POLICY,medium,concept,,,,"핵심 기술 유출 방지, 무기체계 경쟁력 유지, 동맹 신뢰도 확보",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR024,국방정책연구_방산보안 문서,none,기술보호;유출;방산;보안
gq-105,군 의료 체계의 민간 협력 필요성은?,POLICY,easy,concept,,,,"전문 의료인력 부족, 첨단 의료장비 공동 활용, 긴급 후송 체계 연계",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR025,국방정책연구_군의료 문서,none,군의료;민간협력;응급;후송
gq-106,한반도 비핵화 협상의 교훈은?,SECURITY,hard,concept,pub:kida:ff51af852bf7909c8d5d5c99c6089b3f,,3,"검증 메커니즘 중요, 단계적 접근 한계, 상호 신뢰구축 필수",no,,,draft,매핑: 2023_부형욱_북핵고도화대응전략구상한국형핵공유옵션과핵협상에의활용,SR026,2023_부형욱_북핵고도화대응전략구상한국형핵공유옵션,prefix,비핵화;협상;검증;신뢰
gq-107,군 내 정신건강 관리의 필요성은?,PERSONNEL,easy,concept,pub:kida:d70a63c982c5d278d3e8700d5f977fca,,3,"스트레스, 적응 문제, 극단적 선택 예방, 전투력 유지에 직결",no,,,draft,매핑: 2024_박지연_군의스트레스관리방안에대한제언-스트레스마인드셋을중심으로,SR027,2024_박지연_군의스트레스관리방안에대한제언,prefix,정신건강;스트레스;심리;예방
gq-108,무인정찰기 운용의 장단점은?,AI_TECH,easy,concept,pub:kida:780ab1feb626e0554a8e217b5547378f,,3,"장점: 인명위험 감소, 장시간 체공. 단점: 통신 취약, 악천후 제한",no,,,draft,매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고,SR028,2024_나상욱_유무인복합체계_MUM-T_발전방향에대한소고,exact,무인기;정찰;드론;UAV
gq-109,합동작전 수행 능력 강화 방안은?,POLICY,medium,concept,,,,"통합 지휘체계, 상호운용성 확보, 합동교육 강화, 정보 공유 체계",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR029,국방정책연구_합동성 문서,none,합동작전;통합;상호운용;지휘
gq-110,재래식 전력과 핵전력의 통합 운용 방안은?,SECURITY,hard,concept,,,,"CNI 개념 적용, 재래식-핵 연계 작전계획, 억제 신호 명확화",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR030,국방정책연구_CNI 관련 문서,none,재래식;핵;통합;CNI
gq-111,전투기 조종사 양성의 어려움은?,PERSONNEL,medium,concept,,,,"장기간 훈련 필요, 민항 유출, 신체조건 제약, 높은 양성 비용",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR031,국방정책연구_항공인력 문서,none,조종사;양성;훈련;민항
gq-112,국방 데이터 활용의 과제는?,AI_TECH,medium,concept,pub:kida:65126140b8accf27c4602672371a65e3,,3,"보안 등급 관리, 표준화 부재, 분석 인력 부족, 법제도 정비 필요",no,,,draft,매핑: 2023_심승배_국방정책AI개념설계연구,SR032,2023_심승배_국방정책AI개념설계연구,exact,데이터;국방;분석;표준화
gq-113,다자 안보협력의 한계와 가능성은?,INTERNATIONAL,hard,concept,,,,"강대국 경쟁 구도로 한계, 비전통 안보 분야 협력 가능성",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR033,국방정책연구_안보협력 문서,none,다자;안보협력;비전통;강대국
gq-114,도시 지역 전투의 특수성은?,SECURITY,medium,concept,pub:kida:035182e3c76ed3b460b222be0dcc2673,,3,"민간인 피해 최소화, 복잡한 지형, 근접전, 정밀타격 필요",no,,,draft,매핑: 2024_유기현_2개의전쟁무엇을배울것인가,SR034,2024_유기현_2개의전쟁무엇을배울것인가,exact,도시전;시가전;민간인;근접전
gq-115,군사 분야 3D 프린팅의 활용 가능성은?,AI_TECH,medium,concept,,,,"예비부품 현장 생산, 경량 부품 제작, 신속 시제품 개발",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR035,국방정책연구_신기술 문서,none,3D프린팅;적층제조;부품;군수
gq-116,북한의 비대칭 전력 위협 대응 방안은?,SECURITY,medium,concept,,,,"특수전 대비, 미사일 방어, 사이버 방어, 정보 우위 확보",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR036,국방정책연구_비대칭위협 문서,none,비대칭;특수전;미사일;북한
gq-117,방산수출이 국가 경제에 미치는 영향은?,POLICY,easy,concept,,,,"고부가가치 수출, 일자리 창출, 기술파급 효과, 외교적 영향력 확대",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR037,2024_김동범_2024년상반기방산수출성과분석및시사점,none,방산수출;경제;일자리;기술
gq-118,전쟁사 연구가 현대 군사전략에 주는 시사점은?,SECURITY,medium,concept,,,,"역사적 교훈 도출, 전략적 오류 회피, 미래 전쟁 양상 예측",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR038,국방정책연구_전쟁사 문서,none,전쟁사;역사;교훈;전략
gq-119,장병 복지 향상의 전투력 기여는?,PERSONNEL,easy,concept,,,,"사기 진작, 이탈 방지, 장기복무 유도, 전투 집중력 향상",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR039,국방정책연구_병영복지 문서,none,복지;사기;전투력;복무
gq-120,군사훈련 VR/AR 적용의 효과는?,AI_TECH,medium,concept,,,,"실전 유사 체험, 안전한 반복훈련, 비용 절감, 다양한 시나리오 구현",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR040,국방정책연구_훈련체계 문서,none,VR;AR;훈련;시뮬레이션
gq-121,민군 기술 융합의 촉진 방안은?,POLICY,medium,concept,pub:kida:c3041ffbe334de2bf5d03a6db540e820,,3,"기술 이전 절차 간소화, 공동 R&D, 벤처 투자, 인력 교류",no,,,draft,매핑: 2023_양영철_국방과학기술소유권의민간이전방안검토,SR041,2023_양영철_국방과학기술소유권의민간이전방안검토,exact,민군융합;기술이전;R&D;벤처
gq-122,군 지휘관 리더십 개발의 방향은?,PERSONNEL,medium,concept,,,,"전문성, 윤리성, 소통능력, 위기관리 역량 균형 발전",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR042,국방정책연구_리더십 문서,none,리더십;지휘관;역량;개발
gq-123,대테러 작전의 핵심 성공요인은?,SECURITY,medium,concept,,,,"정보 수집 능력, 신속 대응, 민간 협력, 사후 관리 체계",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR043,국방정책연구_대테러 문서,none,대테러;특수부대;정보;대응
gq-124,전략물자 비축의 중요성은?,POLICY,easy,concept,,,,"전시 공급망 단절 대비, 작전 지속성 보장, 동맹 의존도 감소",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR044,국방정책연구_군수 문서,none,비축;전략물자;공급망;군수
gq-125,해상교통로(SLOC) 보호의 중요성은?,SECURITY,medium,concept,,,,"수출입 물자 90% 해상 운송, 에너지 수입 의존, 경제안보 직결",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR045,국방정책연구_해양안보 문서,none,SLOC;해상교통;해양안보;에너지
gq-126,군 인사제도 혁신의 방향은?,PERSONNEL,medium,concept,,,,"능력 중심 진급, 전문성 인정, 민간 경력 활용, 유연한 보직 관리",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR046,국방정책연구_인사제도 문서,none,인사제도;진급;전문성;보직
gq-127,방어 예산 효율화 방안은?,POLICY,medium,concept,,,,"중복 투자 제거, 민간 위탁 확대, 수명주기 비용 관리, 성과 평가",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR047,국방정책연구_국방예산 문서,none,예산;효율;비용;성과
gq-128,군사외교의 역할과 중요성은?,INTERNATIONAL,medium,concept,,,,"안보협력 강화, 분쟁 예방, 상호이해 증진, 국익 수호",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR048,국방정책연구_국방외교 문서,none,군사외교;안보협력;분쟁예방;국익
gq-129,극초음속 무기의 위협과 대응은?,WEAPON_SYSTEM,hard,concept,,,,"위협: 조기탐지 어려움, 기존 방어 무력화. 대응: 센서망 강화, 우주기반 감시",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR049,국방정책연구_미사일방어 문서,none,극초음속;탐지;방어;센서
gq-130,전시 국민 보호를 위한 민방위 체계는?,POLICY,easy,concept,,,,"대피소 확보, 경보 체계, 화생방 대비, 비상물자 비축",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,SR050,국방정책연구_민방위 문서,none,민방위;대피;경보;화생방
gq-131,AI 기반 자율무기체계 도입과 국제인도법 준수의 균형점을 어떻게 찾을 수 있는가?,AI_TECH,hard,multi_hop,pub:kida:780ab1feb626e0554a8e217b5547378f,,3,"인간-기계 협력 체계, 의미있는 인간 통제(MHC) 원칙, 무기사용규칙 명확화, 국제 규범 형성 참여",no,,,draft,매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고 | 다중 문서 근거 필요,MH016,2024_나상욱_유무인복합체계_MUM-T_발전방향에대한소고,exact,자율무기;인도법;인간통제;MHC
gq-132,한국의 방산수출 성과와 글로벌 사우스 국가들과의 협력 전략을 연계하여 분석하시오.,INTERNATIONAL,hard,multi_hop,,,,"신흥시장 공략, 기술 협력 패키지, 교육훈련 연계, 현지 생산 모델, 외교적 관계 강화",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요,MH017,"2024_김동범, 2024_노인규",none,방산수출;글로벌사우스;협력;신흥시장
gq-133,사이버전 역량 강화와 인력 양성 정책의 연계 방안을 제시하시오.,AI_TECH,hard,multi_hop,pub:kida:cb834625898e6eafe83599beaaee859c,,3,"사이버 전문인력 특별 채용, 민간 우수인력 영입, 경력 인정 체계, 처우 개선, 교육 프로그램 고도화",no,,,draft,매핑: 2024_김성태_국방사이버전문인력의전문성판단개선방안 | 다중 문서 근거 필요,MH018,2024_김성태_국방사이버전문인력의전문성판단개선방안,exact,사이버;인력양성;전문성;채용
gq-134,저출산 시대 병역제도 개편과 첨단 무인체계 도입을 연계한 국방력 유지 방안은?,PERSONNEL,hard,multi_hop,,,,"병력 집약→기술 집약 전환, 무인체계 확대, 전문 기술병 양성, 예비전력 활용 극대화",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요,MH019,"국방정책연구_병역제도, 2024_나상욱",none,저출산;병역;무인체계;기술집약
gq-135,북한 핵위협 고도화에 따른 확장억제 강화와 자체 핵무장 논의의 관계를 분석하시오.,SECURITY,hard,multi_hop,pub:kida:ff51af852bf7909c8d5d5c99c6089b3f,,3,"확장억제 신뢰성 문제 → 자체 핵무장 논의 등장. 비용/외교적 결과, 한미동맹 영향, NPT 체제 고려 필요",no,,,draft,매핑: 2023_부형욱_북핵고도화대응전략구상한국형핵공유옵션과핵협상에의활용 | 다중 문서 근거 필요,MH020,2023_부형욱_북핵고도화대응전략구상한국형핵공유옵션,prefix,확장억제;핵무장;동맹;NPT
gq-136,우크라이나 전쟁의 드론 활용 사례와 한국군 MUM-T 발전 방향의 연계점은?,AI_TECH,hard,multi_hop,,,,"저비용 드론 대량 운용 교훈, 유무인 협동작전 필요성, AI 기반 자율화, 민간 기술 활용",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요,MH021,"2024_유기현, 2024_나상욱",none,우크라이나;드론;MUM-T;자율화
gq-137,국방 SW 획득체계 개선과 AI 기반 무기체계 개발 촉진 방안을 종합하시오.,POLICY,hard,multi_hop,pub:kida:bc3a9c9a14c66016c41eb20e670ccd8a,,3,"애자일 개발 도입, 요구사항 유연화, 민간 기술 신속 도입, 데이터 권리 명확화, 보안 인증 간소화",no,,,draft,매핑: 2023_남기헌_국방소프트웨어획득제도정비방안 | 다중 문서 근거 필요,MH022,2023_남기헌_국방소프트웨어획득제도정비방안,exact,SW획득;AI;애자일;무기체계
gq-138,한미 연합방위체제와 한반도 미사일 전략 발전의 상호작용을 분석하시오.,SECURITY,hard,multi_hop,pub:kida:d97f67aac09c745bce808e48ca694533,,3,"한미 미사일지침 개정 → 사거리 제한 해제, 한국형 3축체계 고도화, 미사일 전력 다변화",no,,,draft,매핑: 2023_김기원_신영역작전수행개념과연계한한반도미사일전략발전방향연구 | 다중 문서 근거 필요,MH023,2023_김기원_신영역작전수행개념과연계한한반도미사일전략발전방향연구,exact,연합방위;미사일;3축체계;사거리
gq-139,기후변화 안보위협과 군의 에너지 효율성 정책을 연계하여 대응 방안을 제시하시오.,POLICY,hard,multi_hop,,,,"재생에너지 활용, 에너지 자립 기지, 기후재난 대응 역량, 탄소중립 목표 설정",no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요,MH024,"2024_이남석_기후변화와전투준비태세, 2024_나상욱_국방부문의지속가능성",none,기후변화;에너지;지속가능;탄소중립
