case_id,prior_case_id,query_slice,question,expected_evidence,relevant_publication_ids,document_title,page_count,proposed_pages,proposal_coverage,proposal_confidence,proposed_page_text,relevant_pages,relevance_grade,reviewed_by,decision_basis,notes
gq-028,SR013,concept,한국 사회문화적 변화가 군에 미치는 영향은?,"개인주의 확산, MZ세대 특성, 가치관 변화로 인한 복무 문화 및 리더십 변화 요구",pub:kida:04c54f24414c6959db7cf2cb298b5849,한국의사회문화적이슈가군에미친영향,164,"86,143,94",0.31,weak,"p86: 화장실 가혹행위 사건은 사회적으로 큰 충격을 안겨주었다. 육군은 감찰감을 위원장 으로 하는 육군 인권개선위원회를 설치하여 운용하였으나, 다시 같은 해 6월 육군 28 사단 GP 내무반 총기 난사라는 충격적인 사건을 맞이하게 되었다. 이를 계기로 대통령의 지시에 따라 2005년 7월 창군 이래 최초로 민관군 합동으로 병영문화 전반을 검토하는 병영문화개선 대책위원회가 발족하였다. 병영문화개선위 …  ||  p143: 의 인간관계가 발전하고 한편으로는 정보 접근과 의사 표현에 제한이 없어지면서 권 위주의를 거부하고 의사결정에 직접 참여를 희망한다. MZ세대의 새로운 생활방식과 가치관 등으로 군·사회 간 소통과 개방성은 필연적으로 더욱 요구될 것이다. 이러한 변화는 사회와 인적·물적 자원을 공유하는 군에게도 큰 영향을 미친다. 만 약 군이 업무 및 조직 운영 방식을 현재와 유사하게 관성적으로 유지하게 되면,…  ||  p94: 3. 군 인권 증진의 법적·제도적 성과 여러 차례의 병영문화 개선 노력이 이어지면서 어느 정도 성과도 거두었다. 국방개 혁에 관한 법률에서 처음 병영문화가 중요하게 다루어진 이래 우선 법적 기반이 마련 되었고, 또 조직적·제도적 기반도 강화되었다. 병영환경 및 문화 차원의 변화도 있었 다. 병영시설의 획기적 개선 및 복지 증진, 구타 및 가혹행위 침해 사례 감소 등도 이 루어졌다. 물론 이러…",,,,,매핑: 2023_독고순_한국의사회문화적이슈가군에미친영향
gq-031,MH001,multi_hop,"우크라이나 전쟁과 이스라엘-하마스 전쟁의 공통된 교훈은 무엇이며, 이를 한국군에 어떻게 적용해야 하는가?","하이브리드전 일반화, 무인체계 활용 확대, 방어의 한계와 공격의 중요성 인식. 한국군은 대도시전투 준비, 무인체계 개념 정립, 선제적 공격작전 강화 필요",pub:kida:035182e3c76ed3b460b222be0dcc2673,2개의전쟁무엇을배울것인가,12,"6,8,9",0.18,weak,"p6: KIDA Defense Issues & Analyses - 두 번째 교훈, 무인체계(드론) 전장 활용의 일반화 우크라이나와 이스라엘의 전장에서 무인 체계의 중요성이 급증하고 있다는 사실은 이미 잘 알 려져 있다. 특히 드론은 최근 전투에서 가장 효과적인 무기체계라는 점이 증명되었으며, 현대전의 작전 양상에 큰 영향을 주고 있다. 전투원들은 드론을 통해 실시간 상황인식과 표적을 정확하게 파괴할…  ||  p8: KIDA Defense Issues & Analyses - 세 번째 교훈, 방어의 한계 그리고 공격의 중요성 2개의 전쟁에서 배워야 하는 마지막 교훈은 전쟁에서 공격작전의 중요성이다. 어찌 보면 매우 당연한 말이기도 하고, 혹자는 공격과 방어의 균형이 더 중요하다는 논리를 주장할 수도 있다. 그러나 전쟁의 본질은 정치적 목적을 달성하기 위해 폭력적이고, 파괴적이며 살인을 유발하는 행위라는 점…  ||  p9: KIDA D efense Issues & Analyses - 대응 능력과 속도가 강화되면 반격시간의 단축으로 기습공격의 효과는 상당히 제한될 것이며, 이는 러시아 초기공세에서 우크라이나군의 키이우 방어작전에서 증명된 바 있다. 또한, 신속한 공세전환은 군사력 운용 수단의 정밀한 결합이 필수적이다. 방어에서 공격으로의 빠른 전환은 재래식 무기체계, 드론, 사이버/우주 능력들을 통합 활용하고 항…",,,,,매핑: 2024_유기현_2개의전쟁무엇을배울것인가 | 다중 문서 근거 필요
gq-038,MH008,multi_hop,글로벌 사우스의 부상이 한국 국방정책에 미치는 영향과 대응 방안은?,"방산수출 시장 확대 기회, 다자 안보협력 필요성 증대. 대응: 전략적 파트너십 구축, 기술 협력, 국방외교 강화",pub:kida:46286be240f4e70646737f212f0a2fa1,글로벌사우스의부상과한국의대외정책적과제,12,"10,8,6",0.27,weak,"p10: KIDA Defense Issues & Analyses - 사우스가 글로벌 거버넌스에 대한 개혁을 강력히 요구하는 상황에서 규칙에 기반한 국제질서, 가치 에 기반한 파트너십 등 현상 유지에 방점이 찍힌 서방측 외교적 담론이 글로벌 사우스에 큰 설득력 을 가지지 못하고 있다는 점이다.38) 더욱이 이스라엘-하마스 전쟁 등에서 보여준 서방측의 ‘선택적・ 편의적 정의’는 서방측 담론의 일관성을 크…  ||  p8: KIDA Defense Issues & Analyses - 아, 아르헨티나의 신규 가입을 승인하며 브릭스를 확대하기로 하였다. 이후 아르헨티나와 사우디는 브릭스 가입을 철회했지만, 브릭스 확대는 글로벌 사우스를 둘러싼 국제외교의 큰 이정표로 평가받 고 있다. 중국과 러시아는 브릭스 확대를 통해 글로벌 사우스와의 접점을 확대하며, 서방의 글로벌 영향력을 상쇄하고자 한다. 서방과 불편한 관계에 …  ||  p6: KIDA Defense Issues & Analyses - 대에서 중국과 러시아를 지지하는 국가의 수가 서방을 지지하는 국가의 수만큼 대등하게 많아진 점 등을 고려할 때 ‘서방권’보다는 ‘비서방권’이 ‘글로벌 사우스’에 좀 더 적극적이고 체계적인 노력을 기울였다는 평가가 적지 않다.16) 먼저 인도는 글로벌 사우스의 일원이자 대표를 자처하는 국가로 글로벌 사우스 외교에서 큰 두각을 나타내고 …",,,,,매핑: 2024_노인규_글로벌사우스의부상과한국의대외정책적과제 | 다중 문서 근거 필요
gq-063,KW018,exact_term,PBL(성과기반군수지원)의 핵심 개념은?,PBL은 결과물 기반 계약으로 가용도/신뢰도 목표 달성 시 대가 지불하는 군수지원 방식,pub:kida:60b7c6f64ff31abb2907a468d3e4da00,전시우리군성과기반군수지원의지속지원성향상을위한발전,8,"2,3,4",0.25,weak,"p2: KIDA Defense Issues & Analyses - 현대전에서 민간기업의 지원 없이 전쟁을 수행하는 것은 불가능하다.1) 현대전의 양상을 적나라 하게 보여주는 우크라이나전은 과거 그 어느 전쟁보다 민간기업과의 협력이 전쟁의 중요 요소임을 인식시켜 주고 있다. 우크라이나는 미국기업 스페이스X의 인공위성 기반 통신서비스 스타링크를 통해 러시아의 공격으로 파괴된 자국 통신망을 대체하였고, …  ||  p3: KIDA Defense Issues & Analyses - 우리 군 PBL 사업의 실태와 특징 다음으로, 전시 지속지원성 향상의 관점에서 고려해야 할 우리 군 PBL 사업의 특징을 살펴본다. PBL 업체가 제공하는 군수지원요소는 크게 보급 혹은 정비로 구분되는데 그 외 사업별로 기술지원, 단종관리 등 세부적인 지원요소가 부가되기도 한다. 현재까지 우리 군과 PBL 계약을 체결한 업체는 국내외…  ||  p4: KIDA Defense Issues & Analyses - 마지막으로 본고에서 발전방안을 제시하고자 하는, PBL 사업들의 전시 지속지원 준비 사항을 살펴보면 다음과 같다. 현재 PBL 사업추진의 각 단계에서는 전시 군수지원에 대한 리스크를 검토하 고 있는데, 이는 사업 관련 공식 문서(계약서 혹은 사업이행계획서)4)에 전시 지원사항이 반영되었 는지 여부와 전시 대비 평시 준비사항 등을 점검…",,,,,매핑: 2024_권남연_전시우리군성과기반군수지원의지속지원성향상을위한발전 | 질문에 답이 괄호로 노출된 정의형. 검색 과제로는 유효하나 난이도가 낮음
gq-098,SR018,concept,국방 분야 스타트업 육성의 필요성은?,"민간 혁신기술 빠른 도입, 방산 생태계 다양화, 글로벌 경쟁력 확보",pub:kida:780ab1feb626e0554a8e217b5547378f,유무인복합체계(MUM-T)발전방향에대한소고,12,"5,4,9",0.33,weak,"p5: KIDA Defense Issues & Analyses - 업이 수익을 얻을 수 있도록 지원하고 STTR9) 프로그램으로 중소기업과 연구기관을 연결하여 기술이전을 통해 기초연구의 성과를 사업화시키는 역할을 하고 있다. <표 2> 미국 국방부의 1, 2, 3차 상쇄전략10) 구분 1차 상쇄전략 2차 상쇄전략 3차 상쇄전략 시기 1950년대 초반 ~ 1970년대 중반 1970년대 중반 ~ 200…  ||  p4: KIDA D efense Issues & Analyses - LOI 4 수준에 이른다. <표 1> STANAG 4586 상호운용성 수준(LOI, Levels of Interoperability) 레벨 성능 LOI 1 유인기에서 무인기 관련 데이터/메타데이터의 간접적인 송・수신 LOI 2 유인기에서 무인기 관련 데이터/메타데이터의 직접적인 송・수신 LOI 3 유인기에서 무인기에 탑재된 임무장비…  ||  p9: KIDA Defense Issues & Analyses - 국내에서는 최근 무기체계 소요에 기여하지 않는 첨단 미래도전국방기술 연구개발의 법적 근거 를 마련하는 등 국방분야 첨단과학기술의 선도 기반을 구축하고, 국방기술 기획・관리・평가 전담 기관인 국방기술진흥연구소 설립 등 도전적・혁신적 국방 R&D 기반을 마련하였다. 그러나 아직 국내 국방과학기술 수준은 최고 선진국인 미국 대비 79% 수…",,,,,매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고
gq-103,SR023,concept,사이버 공격에 대한 국제법적 대응의 한계는?,"공격 귀속의 어려움, 비례성 원칙 적용 모호, 국가 간 합의 부재",pub:kida:cb834625898e6eafe83599beaaee859c,국방사이버전문인력의전문성판단개선방안,16,"2,6,8",0.10,weak,"p2: KIDA D efense Issues & Analyses - 국방 안보를 위협하고 있는 국내・외적 사이버 공격은 지속해서 증가하고 있다. 사이버 전력은 사이버 작전을 수행하는 인력의 역량 또는 전문성에 의해 수준이 결정되며, 이에 미국 등 선진 군은 우수한 사이버 인력의 획득 및 양성에 많은 노력을 기울이고 있다. 우리 군 또한 전문성 있는 사이버 인력을 획득하기 위해 다양한 수단을 취하고 …  ||  p6: KIDA D efense Issues & Analyses - 반면에, 사이버 기술인력의 임무 기능은 대응기술 연구개발, 사이버 위협의 탐지, 분석 및 공격 등의 임무를 수행하는 것이다. 사이버 기술업무의 특성상 시간이 지남에 따라 기술의 변화 및 기술 미사용에 따른 기술역량의 하락 속도가 가파를 것이다. 사이버 기술교육 또는 사이버 경진대 회준비 등을 거쳐 그 역량이 유지되거나 향상 가능함을…  ||  p8: KIDA D efense Issues & Analyses - 사이버 전문인력 역량평가 방법 현 역량지수 수용 여부 비고 대분류 중분류 기술 지식 평가 이론 시험 성적 ○ 학력지수, 자격지수 자격증 보유 여부 ○ 자격지수 관련 분야의 학위 및 전공 ○ 학력지수 실전 경험 평가 시뮬레이션 및 실습 성적 (기술 문제 해결 및 사이버 공격/방어 대응 성공률) × n/a 실제 작전에서의 성과 및 참여…",,,,,매핑: 2024_김성태_국방사이버전문인력의전문성판단개선방안
gq-106,SR026,concept,한반도 비핵화 협상의 교훈은?,"검증 메커니즘 중요, 단계적 접근 한계, 상호 신뢰구축 필수",pub:kida:ff51af852bf7909c8d5d5c99c6089b3f,북핵고도화대응전략구상한국형핵공유옵션과핵협상에의활용,48,"13,23,51",0.11,weak,"p13: I. 서 론 북한의 핵능력이 고도화되면서 재래식 전력에 의한 억제가 가능 하느냐에 대한 의문이 지속적으로 제기되고 있다. 면밀한 분석에 의하면 북한 핵은 미국의 확장 억제 수단과 우리의 첨단 재래식 전력의 조합으로 억제가 가능1)하다고 판단되지 만 여론의 향배는 그렇지 않다. 2023년 4월 ‘워싱턴 선언’으로 확장억제의 신뢰 성이 대폭 강화되었으나 일각에서는 여전히 전술핵 재배치 및 핵무장…  ||  p23: 무력 완성을 선언하기에 이르렀다. 이에 전술핵 재배치론자들은 미군이 본토에 보유하고 있는 B-61계열의 항공폭탄을 다시 들여오자고 주장한다. 전성훈(2018) 은 전술핵 재배치를 통해 기존의 ‘재래식 對 재래식’의 군사력 균형과 더불어 ‘핵 對 핵’의 核균형이 병존하는 ‘쌍균형 안보구도’가 정착되면 핵군축을 화두로 한 협상국면이 조성될 수 있다고 주장한다.23)24) 그러나 이제 전술핵 재배…  ||  p51: 참 고 문 헌 대통령실. (2023). “워싱턴 선언 전문.” 대한민국 정책브리핑(2023. 4. 27.). (https://www.korea. kr/news/policyNewsView.do?newsId=148914328) 박용한,이상규. (2023). “북한의 핵탄두 수량 추계와 전망.” 『동북아안보정세분 석』,(https://kida.re.kr/frt/board/frtNormalBoard…",,,,,매핑: 2023_부형욱_북핵고도화대응전략구상한국형핵공유옵션과핵협상에의활용
gq-107,SR027,concept,군 내 정신건강 관리의 필요성은?,"스트레스, 적응 문제, 극단적 선택 예방, 전투력 유지에 직결",pub:kida:d70a63c982c5d278d3e8700d5f977fca,군의스트레스관리방안에대한제언-스트레스마인드셋을중심으로,12,"2,4,9",0.22,weak,"p2: KIDA Defense Issues & Analyses - 1998년 미국에서 성인 3만 명을 대상으로 스트레스에 관한 연구를 수행하였다. 그 연구에서 참여자는 다음과 같은 질문을 받았다고 한다. “작년 한 해 동안 경험한 스트레스가 얼마나 컸는가?”, “스트레스가 건강에 해롭다고 믿는가?”. 8년 뒤에 이 연구에 참여했던 참여자를 대상으로 사망자를 확인하여 스트레스 수치가 높은 사람들의 사…  ||  p4: KIDA Defense Issues & Analyses - 는 몇 가지 한계점이 존재한다(Crum, Salovey & Achor, 2013).3) 첫째, 스트레스 유발요인을 제거하는 것(스트레스 원인을 피하거나 줄이는 것)은 실질적으로 어 렵고 오히려 좌절 경험이 될 수 있다는 점이다. 가령 누구에게나 업무 마감일은 스트레스 유발요인 으로 작용하지만 이를 피하는 것은 불가능하며, 일시적으로 …  ||  p9: KIDA Defense Issues & Analyses - 군 적용의 시사점 스트레스 마인드셋 훈련 프로그램은 스트레스에 기질적으로 취약한 사람일지라도 학습을 통해 인지적 관점을 긍정적으로 변화시킬 수 있다는 점에서 의의가 있다. 또한, 짧은 시간의 훈련이 진행되더라도 큰 효과를 불러올 수 있다는 효율성 측면에서의 장점도 지니고 있다. Crum 등(2013) 의 연구에서 일주일 동안 2~3회…",,,,,매핑: 2024_박지연_군의스트레스관리방안에대한제언-스트레스마인드셋을중심으로
gq-112,SR032,concept,국방 데이터 활용의 과제는?,"보안 등급 관리, 표준화 부재, 분석 인력 부족, 법제도 정비 필요",pub:kida:65126140b8accf27c4602672371a65e3,국방정책AI개념설계연구,6,"5,3,4",0.20,weak,"p5: 델 검증, AI 모델 활용, AI 서비스 운영의 6단계로 구성되어 있으며, 본 연구에서 주 로 다루고 있는 단계는 AI 서비스 기획 단계에서 AI 모델 검증까지의 단계이다. 특 히, AI 서비스 기획은 앞서 언급한 AI Use Case를 정의하는 활동이며, 국방정책 분 야 의사결정 문제 중에서 AI 기술을 활용하여 접근하는 것이 타당한지 검토하는 것 이 핵심 과업이다. 해당 문제가 AI 기술…  ||  p3: 요 약 2016년 3월 인공지능 바둑 프로그램인 알파고(AlphaGo)와 바둑기사 이세돌 간 대결이 심층강화학습을 장착한 알파고의 4:1 승리로 끝났다. 전 세계적인 관심을 불 러일으킨 알파고 열풍은 국내외 공공부문이나 민간부문의 AI 투자가 증가하게 된 계 기가 되었으며, 2020년 8월에는 미 국방부 산하 연구기관인 DARPA(Defense Advanced Research Projects…  ||  p4: 발표한 행정명령(Executive Order 13960)에 따라 미 연방정부 기관들이 작성하고 있는 AI 현황(AI Inventory) 가시화 노력의 일부로 볼 수 있다. AI로 해결하고자 하 는 문제(AI Use Case)를 정의하고, 문제에 적용할 기술을 구체화하고, 소요기획, 연 구개발, 운영 등으로 AI가 적용된 체계(서비스)의 단계를 구분하여 관리하는 개념인 AI Inventory …",,,,,매핑: 2023_심승배_국방정책AI개념설계연구
gq-121,SR041,concept,민군 기술 융합의 촉진 방안은?,"기술 이전 절차 간소화, 공동 R&D, 벤처 투자, 인력 교류",pub:kida:c3041ffbe334de2bf5d03a6db540e820,국방과학기술소유권의민간이전방안검토,78,"49,84,23",0.33,weak,"p49: 다. 한국항공우주연구원(KARI) 한국항공우주연구원(Korea Aerospace Research Institute, KARI)은 항공우주기 술 연구개발을 수행하는 과학기술 분야 정부출연연구기관이다. KARI는 연구부서에 서 기술이전 대상기술 및 계획을 제출하고, 기술사업화실에서 신청기업과 기술이전 상담 및 계약조건을 협의한 후, 기술이전심의회에서 기술이전 평가 및 심의를 실시하 는 형태로 기…  ||  p84: 구분 대상 설명 기술상의 영업비밀 시설 및 제품 설계도 중요 공장의 설계도면, 기계장치의 배치도, 제품 생산라인의 설계도, 공정 설계도 물건의 생산·제조 방법 제품의 생산, 가공, 조립 또는 제조 방법으로 비법이거나 미공개된 것 물질의 배합방법 물질을 생성하는 반응 순서, 원료의 배합순서, 배합비율, 시차 등으로서 공개되지 않고, 역설계로 알아낼 수 없는 것 연구 개발 보고서 및 데이터 연구…  ||  p23: II. 현황 분석 1. 기술소유권 관련 현황 가. 법적 근거 및 법률 간 관계 정부 예산이 투입되는 연구개발성과의 기술소유권 귀속·절차에 관해서는 「국가연 구개발혁신법」(이하 ‘혁신법’)이 모든 국가연구개발사업에 적용되는 일반법 성격을 가지며 다른 법률에 우선한다. 혁신법의 제정 이전에는 각 부처 소관의 법률에 의거 하여 부처별 사업을 관장하였으나, 2020년 6월 혁신법이 제정되면서 근거 …",,,,,매핑: 2023_양영철_국방과학기술소유권의민간이전방안검토
gq-131,MH016,multi_hop,AI 기반 자율무기체계 도입과 국제인도법 준수의 균형점을 어떻게 찾을 수 있는가?,"인간-기계 협력 체계, 의미있는 인간 통제(MHC) 원칙, 무기사용규칙 명확화, 국제 규범 형성 참여",pub:kida:780ab1feb626e0554a8e217b5547378f,유무인복합체계(MUM-T)발전방향에대한소고,12,"10,4,3",0.21,weak,"p10: KIDA D efense Issues & Analyses - 또한, MUM-T 도입 시 LOI 수준에 따라 기존 유인기 조종사에게 무인기 조종 등 추가적인 업무 가 발생하게 되므로 이러한 워크로드를 경감시켜줄 수 있는 AI기반 자율화 기술의 도입 및 확보 가 필요하다. 다수 무인기를 동시에 운용할 수 있는 AI기반 자율군집비행 및 임무할당 기술, 조종 사 명령 기반 지휘결심지원체계 개발 기술…  ||  p4: KIDA D efense Issues & Analyses - LOI 4 수준에 이른다. <표 1> STANAG 4586 상호운용성 수준(LOI, Levels of Interoperability) 레벨 성능 LOI 1 유인기에서 무인기 관련 데이터/메타데이터의 간접적인 송・수신 LOI 2 유인기에서 무인기 관련 데이터/메타데이터의 직접적인 송・수신 LOI 3 유인기에서 무인기에 탑재된 임무장비…  ||  p3: KIDA Defense Issues & Analyses - 정보를 제공해주게 되면 헬기의 생존율을 높일 수 있고 더 빠르게 적을 선제타격할 수 있다. 2001년 9.11 테러 발생 이후 시작된 미국-아프가니스탄 전쟁에서 무인기 MQ-1 Predator는 헬 파이어 미사일로 적을 공격하고 정찰용 무인기로서 영상을 전송하여 지형을 파악하고 표적 획득 에 큰 역할을 하게 된다. 최근에는 우크라이나…",,,,,매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고 | 다중 문서 근거 필요
gq-151,MH036,multi_hop,MRO 시장 발전과 군수지원 효율화 전략의 연계 방안은?,"민간 MRO 역량 활용, 예측정비 도입, 디지털 트윈, 부품 공급망 최적화",pub:kida:a0c8315faf322595981c996721376447,미군의RSF전략에대응하는국방MRO발전방향,14,"5,9,10",0.27,weak,"p5: KIDA Defense Issues & Analyses - 개발・생산・지속지원의 잠재력을 보유한 동맹국 및 파트너의 참여를 우선시하며, 기존 역량을 활용 하거나 신규 역량을 개발하여 방위태세를 강화하도록 한다. 세 번째로 ‘무기 플랫폼/체계 선정’이다. 이는 RSF 구현을 위해 주요 무기 플랫폼 혹은 무기체계 에 대한 우선순위를 선정하고 제한사항을 극복하기 위한 방안을 제시하는 것을 뜻한다.…  ||  p9: KIDA Defense Issues & Analyses - 초도보급 수리부속의 상호지원을 원칙적으로 제한하고 있는데 이에 대한 일부 변화를 가져올 수 있다. 평시에 국내에서 미군의 장비, 구성품 등을 활발히 지원하게 된다면, 미 자국 본토에서 지원받 는 것과 동일한 지원능력을 우리나라가 보유하게 되므로 연합훈련, 교육, 전개, 작전 중 소요가 발생할 경우 적용되는 MLSA의 지원범위가 확대될…  ||  p10: KIDA Defense Issues & Analyses - 체계지원(Product Support) 부 차관보실 간의 협의를 통해 정 하는 것이 바람직하다. ‘MRO 기획팀’에서 RSF 관련 사업을 추진할 때 발생하는 각종 사안 에 대해 국내 조직인 ‘국방 MRO 협의체’에서 협의를 진 행하고, 협의 결과를 바탕으로 ‘MRO 기획팀’이 실질적인 업 무를 추진하는 것이다. 또한 주 요 의사결정 …",,,,,매핑: 2024_김진호_미군의RSF전략에대응하는국방MRO발전방향 | 다중 문서 근거 필요
